licence,capacity,start_time,startX,startY 
2013005949,5,2013-11-18 15:00:29,-74.0056333,-40.7507927
2013001017,4,2013-11-18 15:00:29,-73.992805,-40.742901
2013011416,6,2013-11-18 15:00:29,-73.9816869,-40.7836714
2013005366,4,2013-11-18 15:00:29,-74.0045303,-40.7162869
2013000060,4,2013-11-18 15:00:29,-73.98209,-40.7746427
2013004363,4,2013-11-18 15:00:29,-73.9847694,-40.7692182
2013004361,4,2013-11-18 15:00:29,-73.9781397,-40.763023
2013005362,4,2013-11-18 15:00:29,-74.005854,-40.736534
2013004628,4,2013-11-18 15:00:30,-73.976234,-40.765675
2013011475,5,2013-11-18 15:00:30,-73.969127,-40.7667187
2013010713,4,2013-11-18 15:00:30,-73.9822255,-40.7683169
2013008607,4,2013-11-18 15:00:30,-73.982724,-40.750959
2013007219,4,2013-11-18 15:00:31,-73.9559988,-40.7678043
2013007204,4,2013-11-18 15:00:31,-73.9967162,-40.725502
2013002295,4,2013-11-18 15:00:31,-73.8739364,-40.7737968
2013003060,4,2013-11-18 15:00:31,-73.9745531,-40.7832296
2013010602,4,2013-11-18 15:00:31,-73.9776851,-40.7636462
2013007797,5,2013-11-18 15:00:32,-73.870419,-40.7735296
2013011209,4,2013-11-18 15:00:32,-73.978601,-40.762396
2013006549,4,2013-11-18 15:00:32,-73.9504717,-40.7713798
2013005321,5,2013-11-18 15:00:34,-74.007097,-40.715998
2013007796,4,2013-11-18 15:00:34,-73.9527214,-40.7723305
2013008873,4,2013-11-18 15:00:35,-73.99111,-40.750319
2013012559,5,2013-11-18 15:00:35,-73.974915,-40.761667
2013009586,4,2013-11-18 15:00:36,-73.989243,-40.752895
2013009839,4,2013-11-18 15:00:36,-73.994709,-40.745383
2013000718,4,2013-11-18 15:00:37,-73.993147,-40.727867
2013000068,4,2013-11-18 15:00:37,-74.0144047,-40.7036108
2013009164,4,2013-11-18 15:00:37,-73.9657798,-40.7685831
2013007616,5,2013-11-18 15:00:37,-73.983148,-40.7388264
2013004584,4,2013-11-18 15:00:37,-73.9798438,-40.7489146
2013005727,5,2013-11-18 15:00:37,-73.97076,-40.755825
2013003517,5,2013-11-18 15:00:38,-73.9825954,-40.7823951
2013002786,4,2013-11-18 15:00:38,-73.9737663,-40.7603636
2013005986,4,2013-11-18 15:00:38,-73.986961,-40.736465
2013006309,4,2013-11-18 15:00:40,-73.975591,-40.75786
2013011368,5,2013-11-18 15:00:40,-73.9822752,-40.7458104
2013003971,4,2013-11-18 15:00:40,-73.9877652,-40.7497921
2013010551,4,2013-11-18 15:00:40,-74.0159512,-40.7151089
2013002055,4,2013-11-18 15:00:40,-73.959411,-40.7742552
2013003496,5,2013-11-18 15:00:41,-73.982724,-40.750959
2013000498,4,2013-11-18 15:00:41,-74.000183,-40.737865
2013013063,4,2013-11-18 15:00:42,-74.007483,-40.740942
2013013210,4,2013-11-18 15:00:42,-73.984118,-40.754842
2013007032,4,2013-11-18 15:00:42,-73.9909131,-40.7709763
2013009210,4,2013-11-18 15:00:43,-73.9777264,-40.7422757
2013005936,4,2013-11-18 15:00:43,-73.7770685,-40.6467428
2013006774,4,2013-11-18 15:00:43,-73.985243,-40.744627
2013000997,4,2013-11-18 15:00:44,-73.976288,-40.748245
2013006498,4,2013-11-18 15:00:44,-73.9570636,-40.7801184
2013012315,1,2013-11-18 15:00:44,-73.9628569,-40.7941908
2013012464,5,2013-11-18 15:00:45,-74.006737,-40.730947
2013009589,4,2013-11-18 15:00:45,-73.9527041,-40.7765623
2013011258,4,2013-11-18 15:00:46,-73.9789382,-40.785123
2013000482,4,2013-11-18 15:00:46,-73.9578726,-40.7694751
2013002678,4,2013-11-18 15:00:46,-73.942913,-40.777493
2013012594,4,2013-11-18 15:00:46,-73.9841339,-40.6961133
2013006224,4,2013-11-18 15:00:47,-73.9728492,-40.7933947
2013005604,5,2013-11-18 15:00:47,-73.995645,-40.744099
2013005709,4,2013-11-18 15:00:49,-73.95382,-40.7845639
2013006305,4,2013-11-18 15:00:50,-73.9548817,-40.7639862
2013003047,4,2013-11-18 15:00:50,-73.99684,-40.737361
2013010675,6,2013-11-18 15:00:50,-73.952743,-40.789168
2013004239,3,2013-11-18 15:00:51,-73.9685157,-40.764823
2013011480,4,2013-11-18 15:00:51,-73.9675289,-40.7928581
2013011408,3,2013-11-18 15:00:51,-73.9823574,-40.7623343
2013003461,5,2013-11-18 15:00:51,-73.9949814,-40.7603
2013002309,4,2013-11-18 15:00:52,-73.9635486,-40.7743723
2013000973,5,2013-11-18 15:00:52,-74.008747,-40.719029
2013001281,4,2013-11-18 15:00:52,-73.9661079,-40.789736
2013006024,4,2013-11-18 15:00:52,-73.98179,-40.728446
2013004643,5,2013-11-18 15:00:52,-73.9746829,-40.7591101
2013006821,5,2013-11-18 15:00:53,-73.9672707,-40.7634817
2013006234,4,2013-11-18 15:00:53,-74.0056333,-40.7507927
2013008952,4,2013-11-18 15:00:53,-73.9629223,-40.7583127
2013012011,4,2013-11-18 15:00:53,-73.9611664,-40.7776355
2013002748,4,2013-11-18 15:00:55,-74.0159512,-40.7151089
2013012593,4,2013-11-18 15:00:55,-73.9617136,-40.7710998
2013003889,4,2013-11-18 15:00:55,-73.9718586,-40.7629781
2013011491,4,2013-11-18 15:00:55,-73.870419,-40.7735296
2013003502,4,2013-11-18 15:00:55,-73.9591761,-40.7717042
2013003938,4,2013-11-18 15:00:56,-73.9578658,-40.7821571
2013008688,5,2013-11-18 15:00:56,-73.976251,-40.740026
2013006562,4,2013-11-18 15:00:56,-73.969431,-40.753624
2013002329,5,2013-11-18 15:00:56,-73.993147,-40.727867
2013000555,4,2013-11-18 15:00:56,-73.9822537,-40.7573902
2013010941,4,2013-11-18 15:00:57,-73.9788209,-40.7824641
2013001045,4,2013-11-18 15:00:57,-73.946523,-40.707011
2013001641,4,2013-11-18 15:00:57,-73.9611475,-40.7649877
2013002668,4,2013-11-18 15:00:57,-73.957888,-40.761175
2013011680,4,2013-11-18 15:00:57,-73.9816372,-40.7803121
2013007993,4,2013-11-18 15:00:57,-73.9668127,-40.7641054
2013010670,4,2013-11-18 15:00:58,-73.790347,-40.6463149
2013007635,5,2013-11-18 15:00:58,-73.9560335,-40.7846666
2013013049,4,2013-11-18 15:00:58,-73.9809839,-40.764219
